TOKEN	TRUE	PREDICTED
The	O	O
reported	O	O
adherence	O	O
rates	O	O
to	O	O
folic	O	O
acid	O	O
intake	O	O
in	O	O
other	O	O
countries	O	O
vary	O	O
depending	O	O
on	O	O
concomitant	O	O
recommendations	O	O
for	O	O
cereal	O	O
fortification	O	O
and	O	O
on	O	O
the	O	O
period	O	O
analysed	O	O
–	O	O
pre	O	O
-	O	O
or	O	O
peri	O	O
-	O	O
conception	O	O
.	O	O

There	O	O
are	O	O
some	O	O
differences	O	O
in	O	O
the	O	O
management	O	O
of	O	O
the	O	O
two	O	O
most	O	O
important	O	O
histotypes	O	O
:	O	O
DTC	O	O
(	O	O
differentiated	O	O
thyroid	O	O
cancer	O	O
:	O	O
follicular	O	O
and	O	O
papillary	O	O
cancer	O	O
)	O	O
and	O	O
MTC	O	O
(	O	O
medullary	O	O
thyroid	O	O
cancer	O	O
)	O	O
just	O	O
as	O	O
for	O	O
non	O	O
-	O	O
pregnant	O	O
patients	O	O
[	O	O
Boxes	O	O
1	O	O
-	O	O
2	O	O
].	O	O

A	O	O
detailed	O	O
description	O	O
of	O	O
the	O	O
follow	O	O
-	O	O
up	O	O
study	O	O
and	O	O
exposure	O	O
assessment	O	O
has	O	O
been	O	O
described	O	O
elsewhere	O	O
[	O	O
21	O	O
].	O	O

Ayas	O	O
et	O	O
al	O	O
,	O	O
in	O	O
their	O	O
study	O	O
of	O	O
70	O	O
,	O	O
026	O	O
US	O	O
nurses	O	O
,	O	O
followed	O	O
for	O	O
10	O	O
years	O	O
,	O	O
reported	O	O
that	O	O
individuals	O	O
who	O	O
slept	O	O
≤	O	O
5	O	O
hours	O	O
per	O	O
night	O	O
had	O	O
a	O	O
significantly	O	O
higher	O	O
risk	O	O
of	O	O
symptomatic	O	O
incident	O	O
diabetes	O	O
(	O	O
OR	O	O
=	O	O
1	O	O
.	O	O
34	O	O
;	O	O
95	O	O
%	O	O
CI	O	O
1	O	O
.	O	O
04	O	O
-	O	O
1	O	O
.	O	O
72	O	O
)	O	O
[	O	O
4	O	O
].	O	O

In	O	O
addition	O	O
,	O	O
authors	O	O
emphasize	O	O
importance	O	O
of	O	O
survival	O	O
and	O	O
health	O	O
of	O	O
cows	O	O
and	O	O
calves	O	O
and	O	O
of	O	O
subsequent	O	O
reproductive	O	O
performance	O	O
of	O	O
cows	O	O
for	O	O
relative	O	O
contribution	O	O
of	O	O
fetal	O	O
programming	O	O
to	O	O
the	O	O
profitability	O	O
of	O	O
beef	O	O
production	O	O
systems	O	O
when	O	O
developmental	O	O
programming	O	O
is	O	O
applied	O	O
[	O	O
33	O	O
].	O	O

The	O	O
remaining	O	O
piglets	O	O
were	O	O
cross	O	O
-	O	O
fostered	O	O
to	O	O
non	O	O
-	O	O
experimental	O	O
sows	O	O
of	O	O
2ndto	O	O
4thparities	O	O
,	O	O
which	O	O
were	O	O
on	O	O
the	O	O
AP	O	O
diet	O	O
during	O	O
gestation	O	O
.	O	O

Both	O	O
MS	O	O
and	O	O
IMF	O	O
contents	O	O
increased	O	O
with	O	O
increasing	O	O
slaughter	O	O
age	O	O
(	O	O
2	O	O
,	O	O
4	O	O
,	O	O
6	O	O
,	O	O
12	O	O
,	O	O
and	O	O
24	O	O
months	O	O
)	O	O
in	O	O
