TOKEN	PREDICTED
We	O
suggest	O
the	O
long	O
-	O
term	O
fallow	O
up	O
of	O
mothers	O
and	O
infants	O
with	O
more	O
abundant	O
sample	O
.	O

All	O
pregnant	O
women	O
in	O
the	O
waiting	O
areas	O
of	O
the	O
ANC	O
clinics	O
are	O
informed	O
about	O
the	O
study	O
.	O

Thus	O
,	O
the	O
strength	O
and	O
duration	O
of	O
sunlight	O
exposure	O
become	O
the	O
main	O
factors	O
affecting	O
the	O
Vitamin	O
D	O
level	O
in	O
their	O
bodies	O
.	O

The	O
latter	O
exposure	O
was	O
not	O
associated	O
with	O
any	O
outcome	O
(	O
data	O
not	O
shown	O
).	O

Differences	O
were	O
considered	O
significant	O
at	O
P	O
≤	O
0	O
.	O
05	O
.	O

4	O
.	O

To	O
this	O
end	O
,	O
we	O
recommend	O
a	O
cue	O
to	O
be	O
taken	O
from	O
new	O
approaches	O
to	O
iron	O
fortification	O
technology	O
development	O
whereby	O
iron	O
-	O
mediated	O
undesirable	O
taste	O
and	O
appearance	O
are	O
prevented	O
while	O
its	O
stability	O
and	O
bioavailability	O
are	O
preserved	O
[	O
60	O
].	O

Bonferroni	O
analysis	O
indicated	O
that	O
RC	O
females	O
presented	O
a	O
significant	O
decrease	O
in	O
the	O
gene	O
expression	O
of	O
Acaca	O
,	O
Fasn	O
,	O
Cpt1a	O
,	O
Acox1	O
,	O
Insig1	O
,	O
and	O
Hmgcr	O
in	O
liver	O
,	O
and	O
Scd1	O
in	O
PAT	O
compared	O
to	O
that	O
of	O
CC	O
ones	O
(	O
Figures5A	O
–	O
C	O
).	O

At	O
T1	O
and	O
T3	O
,	O
participants	O
answered	O
questionnaires	O
regarding	O
lifestyle	O
factors	O
and	O
background	O
data	O
.	O

On	O
a	O
subsequent	O
encounter	O
with	O
the	O
allergen	O
,	O
bridging	O
of	O
2	O
or	O
more	O
IgE	O
antibodies	O
leads	O
to	O
degranulation	O
of	O
the	O
mast	O
cell	O
with	O
release	O
of	O
preformed	O
mediators	O
such	O
as	O
histamine	O
,	O
serotonin	O
,	O
tryptase	O
,	O
chymase	O
,	O
kininogenase	O
,	O
and	O
heparin	O
.	O

Women	O
in	O
the	O
highest	O
quintile	O
of	O
total	O
sugar	O
intake	O
during	O
pregnancy	O
had	O
a	O
lower	O
pre	O
-	O
pregnancy	O
BMI	O
,	O
higher	O
total	O
energy	O
intake	O
and	O
gained	O
more	O
weight	O
during	O
pregnancy	O
than	O
women	O
in	O
the	O
lowest	O
quintile	O
.	O

Health	O
and	O
dietary	O
information	O
were	O
obtained	O
from	O
parental	O
report	O
and	O
confirmed	O
by	O
medical	O
records	O
from	O
the	O
primary	O
care	O
physician	O
or	O
the	O
hospital	O
.	O

Nimitphong	O
et	O
al	O
.	O

Whilst	O
the	O
latter	O
studies	O
were	O
not	O
specifically	O
performed	O
in	O
women	O
with	O
GDM	O
