TOKEN	TRUE	PREDICTED
The	O	O
incidence	O	O
of	O	O
vitamin	O	O
D	O	O
deficiency	O	O
(˂	O	O
50	O	O
nmol	O	O
/	O	O
L	O	O
)	O	O
is	O	O
frequent	O	O
among	O	O
pregnant	O	O
women	O	O
even	B	B
in	O	O
areas	O	O
such	O	O
as	O	O
Australia	O	O
and	O	O
the	O	O
North	O	O
Island	O	O
of	O	O
New	O	O
Zealand	O	O
where	O	O
sunlight	O	O
exposure	O	O
is	O	O
high	O	O
.	O	O

Pollutants	O	O
,	O	O
selective	O	O
serotonin	O	O
reuptake	O	O
inhibitors	O	O
,	O	O
artificial	O	O
insemination	O	O
,	O	O
and	O	O
fertility	O	O
medications	O	O
may	B	B
have	O	O
a	O	O
link	B	B
,	O	O
but	O	O
results	O	O
are	O	O
often	O	O
conflicted	B	B
.	O	O

The	O	O
present	O	O
study	O	O
was	O	O
approved	O	O
by	O	O
the	O	O
Ethics	O	O
Committee	O	O
of	O	O
Shiraz	O	O
University	O	O
of	O	O
Medical	O	O
Sciences	O	O
with	O	O
the	O	O
ethics	O	O
code	O	O
93	O	O
–	O	O
7212	O	O
.	O	O

The	O	O
health	O	O
centres	O	O
are	O	O
run	O	O
by	O	O
senior	O	O
nurses	O	O
or	O	O
midwives	O	O
(	O	O
Head	O	O
of	O	O
centres	O	O
)	O	O
with	O	O
the	O	O
exception	O	O
of	O	O
Muea	O	O
health	O	O
centre	O	O
which	O	O
is	O	O
headed	O	O
by	O	O
a	O	O
medical	O	O
doctor	O	O
.	O	O

This	O	O
observation	O	O
is	O	O
similar	B	B
to	I	I
that	O	O
seen	O	O
in	O	O
Uganda	O	O
[	O	O
17	O	O
]	O	O
and	O	O
Zimbabwe	O	O
[	O	O
18	O	O
]	O	O
where	O	O
it	O	O
was	O	O
also	B	B
shown	I	I
that	O	O
the	O	O
quality	O	O
of	O	O
care	O	O
provided	O	O
was	O	O
contributory	B	B
.	O	O

Individuals	O	O
with	O	O
a	O	O
BMI	O	O
above	O	O
30	O	O
kg	O	O
/	O	O
m2are	O	O
classified	O	O
as	O	O
obese	O	O
;	O	O
those	O	O
with	O	O
a	O	O
BMI	O	O
between	O	O
25	O	O
and	O	O
30	O	O
